timeRand;operRand;timeBest;operBest;timeWorst;operWorst
16;577;16;15;16;1751
16;589;16;15;16;1751
16;573;16;15;16;1751
16;571;16;15;16;1751
16;571;16;15;16;1751
16;571;16;15;16;1751
16;571;16;15;16;1751
17;571;17;15;17;1751
17;571;17;15;17;1751
17;571;17;15;17;1751
17;571;17;15;17;1751
17;589;17;15;17;1751
17;571;17;15;17;1751
17;193;17;15;17;1751
17;571;17;15;17;1751
17;193;17;15;17;1751
19;571;19;15;19;1751
19;571;19;15;19;1751
19;571;19;15;19;1751
19;625;19;15;19;1751
19;573;19;15;19;1751
19;571;19;15;19;1751
19;571;19;15;19;1751
19;571;19;15;19;1751
19;571;19;15;19;1751
19;625;19;15;19;1751
19;571;19;15;19;1751
19;625;19;15;19;1751
19;571;19;15;19;1751
19;571;19;15;19;1751
19;589;19;15;19;1751
19;193;19;15;19;1751
19;589;19;15;19;1751
19;571;19;15;19;1751
20;571;20;15;20;1751
20;571;20;15;20;1751
20;571;20;15;20;1751
20;571;20;15;20;1751
20;571;20;15;20;1751
20;571;20;15;20;1751
20;571;20;15;20;1751
20;571;20;15;20;1751
20;571;20;15;22;1751
22;571;22;15;22;1751
22;571;22;15;22;1751
22;573;22;15;22;1751
22;571;22;15;22;1751
22;571;22;15;22;1751
22;571;22;15;22;1751
22;571;22;15;22;1751
22;573;22;15;22;1751
22;571;22;15;22;1751
23;571;23;15;23;1751
23;571;23;15;23;1751
23;589;23;15;23;1751
23;577;23;15;23;1751
23;571;23;15;23;1751
23;571;23;15;23;1751
23;627;23;15;23;1751
23;571;23;15;23;1751
23;591;23;15;23;1751
23;571;23;15;23;1751
23;571;23;15;23;1751
23;571;23;15;23;1751
23;625;23;15;23;1751
23;571;23;15;23;1751
23;589;23;15;23;1751
23;589;23;15;23;1751
23;571;23;15;23;1751
23;595;23;15;23;1751
24;573;24;15;24;1751
24;631;24;15;24;1751
24;571;24;15;24;1751
24;589;24;15;24;1751
24;577;24;15;24;1751
24;571;24;15;24;1751
24;571;24;15;24;1751
24;591;24;15;24;1751
24;571;24;15;24;1751
25;571;25;15;25;1751
25;571;25;15;25;1751
25;193;25;15;25;1751
25;571;25;15;25;1751
25;571;25;15;25;1751
25;571;25;15;25;1751
25;589;25;15;25;1751
26;625;26;15;26;1751
26;571;26;15;26;1751
26;589;26;15;26;1751
26;571;26;15;26;1751
26;573;26;15;26;1751
26;577;26;15;26;1751
26;571;26;15;26;1751
26;573;26;15;26;1751
27;571;27;15;27;1751
27;571;27;15;27;1751
27;571;27;15;27;1751
27;625;27;15;27;1751
27;573;27;15;27;1751
27;571;27;15;27;1751
27;625;27;15;27;1751
27;571;27;15;28;1751
28;571;28;15;28;1751
28;571;28;15;29;1751
29;571;29;15;29;1751
29;573;29;15;29;1751
29;571;29;15;29;1751
29;571;29;15;29;1751
29;589;29;15;29;1751
29;577;29;15;29;1751
29;571;29;15;29;1751
29;571;29;15;29;1751
29;571;29;15;29;1751
29;577;29;15;29;1751
29;571;29;15;29;1751
29;571;29;15;29;1751
29;571;29;15;29;1751
29;193;29;15;29;1751
29;571;29;15;29;1751
29;589;29;15;29;1751
29;573;29;15;29;1751
29;571;29;15;29;1751
29;571;29;15;29;1751
29;573;29;15;29;1751
29;589;29;15;29;1751
29;571;29;15;29;1751
29;571;29;15;29;1751
